City,Restaurant,Price,Avg ratings,Food type,Delivery time
Chennai,Ambaram Fast Food,200,3.8,"South Indian,Fast Food",37
Bangalore,Ambarsaria Street,450,2.9,"Indian,Combo",39
Kolkata,Amber - Veg Food Delivery,250,4,"North Indian,Thalis",91
Kolkata,Amber'S Kitchen,250,2.9,"North Indian,Biryani",41
Kolkata,Ambika Patisserie,200,4.4,Desserts  Bakery,67
Ahmedabad,Ambrosia Restaurant,600,2.9,"Indian,Chinese,Continental,South Indian",33
Chennai,Ambur Biriyani Since 1967,300,3.9,Biryani,55
Chennai,Ambur Masha Allah Briyani,400,2.9,Biryani,56
Chennai,Ambur Star Briyani,500,4.3,Biryani,58
Bangalore,Ambur Star Briyani Since 1890,600,4.3,"Biryani,Chettinad,Andhra,Beverages,Seafood",48
Chennai,Amdavadi Gujarati Restaurant,400,3.9,Gujarati,67
Ahmedabad,Amdavadi Rasoi,200,2.9,"Indian,Chinese",74
Surat,Amdavadi Tawa Fry,300,4.4,Fast Food,56
Ahmedabad,Amdos Kitchen,300,4.4,"Tibetan,Chinese,Fast Food",30
Hyderabad,American Bakers Bakers & Confectioners,250,2.9,Fast Food,36
Chennai,Amethyst,1000,4.6,"Italian,Continental",53
Mumbai,Amey,250,4.3,"North Indian,Chinese,South Indian,Fast Food",46
